position,11x,11y,angle,percentage,polarity
"11,13,15",1151,364,299.8441317603521,99.68826352070425,1
"11,13,15",1151,362,300.62214308318175,100.0,1
"11,13,15",1151,361,300.5378640266648,100.0,1
"11,13,15",1149,359,300.6325320528589,100.0,1
"11,13,15",1148,356,301.15175116166546,100.0,1
"11,13,15",1148,354,301.8038001954796,100.0,1
"11,13,15",1150,354,303.5836313146825,100.0,1
"11,13,15",1150,354,305.1986472028076,100.0,1
"11,13,15",1149,353,306.41723160535736,100.0,1
"11,13,15",1146,353,307.86301961295237,100.0,1
"11,13,15",1145,352,309.87751363761504,100.0,1
"11,13,15",1145,352,311.6273152553918,100.0,1
"11,13,15",1145,352,312.1347849038253,100.0,1
"11,13,15",1146,351,313.29037147464663,100.0,1
"11,13,15",1147,351,313.80849267628196,100.0,1
"11,13,15",1150,351,313.82487888463646,100.0,1
"11,13,15",1152,351,314.56078488294565,100.0,1
"11,13,15",1155,351,314.9558391921232,100.0,1
"11,13,15",1156,351,315.81390629215156,100.0,1
"11,13,15",1156,352,317.2315643707645,100.0,1
"11,13,15",1156,352,318.4735777783947,100.0,1
"11,13,15",1155,352,319.8012126883005,100.0,1
"11,13,15",1155,352,321.19032757884474,100.0,1
"11,13,15",1156,352,322.4702905822956,100.0,1
"11,13,15",1156,352,323.30240867133034,100.0,1
"11,13,15",1156,352,324.2302168324416,100.0,1
"11,13,15",1156,352,324.5474145250213,100.0,1
"11,13,15",1156,352,324.40078004102384,100.0,1
"11,13,15",1156,351,324.382627595306,100.0,1
"11,13,15",1156,351,324.07083255019677,100.0,1
"11,13,15",1156,351,324.054308044736,100.0,1
"11,13,15",1156,351,323.5199508891126,100.0,1
"11,13,15",1157,351,322.6338001986482,100.0,1
"11,13,15",1157,351,322.25407987517957,100.0,1
"11,13,15",1158,350,321.7811711813949,100.0,1
"11,13,15",1158,348,320.4648290282172,100.0,1
"11,13,15",1159,347,318.5342176407756,100.0,1
"11,13,15",1158,345,316.91116977952436,100.0,1
"11,13,15",1158,343,315.08585732258246,100.0,1
"11,13,15",1158,342,312.729416655736,100.0,1
"11,13,15",1156,343,310.86034415549926,100.0,1
"11,13,15",1155,344,309.0981789461655,100.0,1
"11,13,15",1152,345,308.5924877263583,100.0,1
"11,13,15",1150,345,306.92964041984584,100.0,1
"11,13,15",1149,347,305.76491498081435,100.0,1
"11,13,15",1147,349,303.886325670529,100.0,1
"11,13,15",1142,355,303.0627538104126,100.0,1
"11,13,15",1138,357,302.3507833874891,100.0,1
"11,13,15",1137,358,299.9430303164069,99.88606063281384,1
"11,13,15",1132,359,298.0441163462316,96.08823269246318,1
"11,13,15",1131,359,294.3833112887763,88.76662257755265,1
"11,13,15",1132,359,289.42111777561087,78.84223555122173,1
"11,13,15",1131,359,285.38117348532,70.76234697064001,1
"11,13,15",1131,359,279.39854096253373,58.79708192506746,1
"11,13,15",1131,360,275.1375920960877,50.2751841921754,1
"11,13,15",1130,360,273.2897880431324,46.57957608626475,1
"11,13,15",1128,363,272.7454138314446,45.49082766288916,1
"11,13,15",1126,368,271.29145368941124,42.58290737882248,1
"11,13,15",1126,371,269.69274120517287,39.38548241034573,1
"11,13,15",1126,371,267.41034726026294,34.820694520525876,1
"11,13,15",1124,371,266.43816703353355,32.87633406706709,1
"11,13,15",1120,371,265.66502367918156,31.330047358363117,1
"11,13,15",1116,371,261.7472198504338,23.494439700867588,1
"11,13,15",1114,370,257.52836980908216,15.056739618164329,1
"11,13,15",1115,370,255.19214285333751,10.38428570667503,1
"11,13,15",1114,369,251.30431662114046,2.6086332422809164,1
"11,13,15",1112,369,248.9245010478105,0.0,1
"11,13,15",1110,368,247.31291703106322,0.0,1
"11,13,15",1109,368,245.9909095041911,0.0,1
"11,13,15",1107,368,242.87318786300705,0.0,1
"11,13,15",1107,368,239.15630653332528,0.0,1
"11,13,15",1106,366,236.07147113627894,0.0,1
"11,13,15",1106,365,233.39497400562848,0.0,1
"11,13,15",1106,365,230.02789290768033,0.0,1
"11,13,15",1106,363,228.24925759805785,0.0,1
"11,13,15",1106,359,225.7457523552248,0.0,1
"11,13,15",1105,357,223.6882442821859,0.0,1
"11,13,15",1104,357,221.82349025260953,0.0,1
"11,13,15",1104,358,220.23655398133397,0.0,1
"11,13,15",1102,359,219.45155175056425,0.0,1
"11,13,15",1102,359,217.0041394997914,0.0,1
"11,13,15",1101,359,216.0174881664484,0.0,1
"11,13,15",1101,359,215.29778956037632,0.0,1
"11,13,15",1101,359,215.04474954512463,0.0,1
"11,13,15",1101,359,214.92231382107374,0.0,1
"11,13,15",1100,359,215.10189082435036,0.0,1
"11,13,15",1100,359,215.54834808339925,0.0,1
"11,13,15",1101,360,215.8631055137375,0.0,1
"11,13,15",1101,361,216.28773258920495,0.0,1
"11,13,15",1101,360,216.61153580940888,0.0,1
"11,13,15",1102,360,216.7380694738564,0.0,1
"11,13,15",1102,359,217.34112238974373,0.0,1
"11,13,15",1101,358,218.49732550385204,0.0,1
"11,13,15",1100,358,220.33303258779753,0.0,1
"11,13,15",1099,359,222.8871748415147,0.0,1
"11,13,15",1099,360,225.51924516912226,0.0,1
"11,13,15",1100,360,228.4049085957203,0.0,1
"11,13,15",1100,361,231.73155696296666,0.0,1
"11,13,15",1101,361,236.00741235935996,0.0,1
"11,13,15",1102,363,238.8616282995404,0.0,1
"11,13,15",1105,367,242.1558297689678,0.0,1
"11,13,15",1112,367,244.37853557054717,0.0,1
"11,13,15",1116,368,245.91584822420472,0.0,1
"11,13,15",1118,369,247.25982932496464,0.0,1
"11,13,15",1121,369,255.60454946533457,11.209098930669143,1
"11,13,15",1127,369,260.1367333914783,20.273466782956575,1
"11,13,15",1134,366,260.19826276324807,20.396525526496134,1
"11,13,15",1136,362,261.1748787418961,22.349757483792246,1
"11,13,15",1137,358,263.0627296665678,26.12545933313561,1
"11,13,15",1139,356,266.4003440153688,32.80068803073755,1
"11,13,15",1143,352,267.4394833703089,34.878966740617784,1
"11,13,15",1147,347,267.58025663455965,35.16051326911929,1
"11,13,15",1146,343,271.32026863380906,42.64053726761813,1
"11,13,15",1148,340,275.6378858382428,51.27577167648565,1
"11,13,15",1147,341,279.94146301034164,59.88292602068327,1
"11,13,15",1147,341,285.5109601799006,71.02192035980124,1
"11,13,15",1146,340,289.20315789965946,78.40631579931892,1
"11,13,15",1146,339,292.18243985471247,84.36487970942494,1
"11,13,15",1146,339,295.99797014494595,91.9959402898919,1
"11,13,15",1146,335,298.6474874449654,97.29497488993081,1
"11,13,15",1146,331,300.11181587089806,100.0,1
