position,11x,11y,angle,percentage,polarity
"11,13,15",414,278,336.16019987326086,100.0,0
"11,13,15",414,277,308.30751731793447,88.30751731793447,0
"11,13,15",414,277,311.3195745620242,91.31957456202417,0
"11,13,15",415,277,246.63621337818057,26.63621337818057,0
"11,13,15",415,277,326.2293790512638,100.0,0
"11,13,15",409,278,206.93134914753963,0.0,0
"11,13,15",406,278,204.29709664117217,0.0,0
"11,13,15",403,279,261.73535121505057,41.73535121505057,0
"11,13,15",400,279,148.78485329434568,0.0,0
"11,13,15",394,279,169.49159994606748,0.0,0
"11,13,15",392,279,190.9096420606126,0.0,0
"11,13,15",391,279,198.5246573778787,0.0,0
"11,13,15",392,279,202.39136684672883,0.0,0
"11,13,15",392,279,206.21319232786843,0.0,0
"11,13,15",392,279,208.15619144827258,0.0,0
"11,13,15",392,279,211.65934775139556,0.0,0
"11,13,15",391,279,193.4822728244553,0.0,0
"11,13,15",391,279,190.51744578809368,0.0,0
"11,13,15",390,279,202.00427765931417,0.0,0
"11,13,15",390,279,211.4381819322948,0.0,0
"11,13,15",390,279,209.89473925655176,0.0,0
"11,13,15",390,279,212.7404727980292,0.0,0
"11,13,15",390,279,219.96449425460662,0.0,0
"11,13,15",390,280,267.49946690191956,47.49946690191956,0
"11,13,15",390,280,343.96923131925337,100.0,0
"11,13,15",391,281,342.3635858908463,100.0,0
"11,13,15",391,281,206.83204040499808,0.0,0
"11,13,15",391,282,200.14110745352556,0.0,0
"11,13,15",390,283,197.1985412200659,0.0,0
"11,13,15",389,284,197.23924271192178,0.0,0
"11,13,15",387,284,201.0770207683186,0.0,0
"11,13,15",386,284,202.80276329336948,0.0,0
"11,13,15",384,285,203.95531690376544,0.0,0
"11,13,15",383,286,207.28075238748931,0.0,0
"11,13,15",381,288,207.41602854200843,0.0,0
"11,13,15",379,296,242.04617456264822,22.04617456264822,0
"11,13,15",378,301,248.10927229386428,28.10927229386428,0
"11,13,15",378,304,250.2993808015588,30.29938080155881,0
"11,13,15",380,308,241.3914360178489,21.39143601784889,0
"11,13,15",380,308,236.55682743200109,16.556827432001086,0
"11,13,15",380,308,232.77700276642616,12.777002766426165,0
"11,13,15",378,308,234.54163113498456,14.541631134984556,0
"11,13,15",374,307,241.96066166839174,21.960661668391737,0
"11,13,15",374,308,255.1808226500997,35.180822650099714,0
"11,13,15",370,307,272.26417105011853,52.264171050118534,0
"11,13,15",370,308,290.7195912440464,70.7195912440464,0
"11,13,15",375,312,306.32731773364645,86.32731773364645,0
"11,13,15",373,313,318.8356199998002,98.8356199998002,0
"11,13,15",372,327,336.36529817447365,100.0,0
"11,13,15",372,337,339.91069196948854,100.0,0
"11,13,15",373,342,338.6416674156968,100.0,0
"11,13,15",374,343,344.0167461754876,100.0,0
"11,13,15",374,343,343.57485784312615,100.0,0
"11,13,15",373,342,347.19967218909056,100.0,0
"11,13,15",373,341,343.30368096024046,100.0,0
"11,13,15",384,339,334.0552752908292,100.0,0
"11,13,15",385,339,330.61339926197854,100.0,0
"11,13,15",392,338,329.55955147756015,100.0,0
"11,13,15",390,337,329.383572282219,100.0,0
"11,13,15",390,338,330.16361111500703,100.0,0
"11,13,15",386,340,331.96282351695,100.0,0
"11,13,15",386,341,329.4103819942832,100.0,0
"11,13,15",381,345,333.335252976324,100.0,0
"11,13,15",380,345,333.0230639359014,100.0,0
"11,13,15",374,345,333.7888294806399,100.0,0
"11,13,15",369,344,332.7468064074143,100.0,0
"11,13,15",364,344,334.04558263459904,100.0,0
"11,13,15",357,344,337.2960513163374,100.0,0
"11,13,15",356,344,336.76872835277163,100.0,0
"11,13,15",353,345,336.95410269737073,100.0,0
"11,13,15",349,347,337.61493416441067,100.0,0
"11,13,15",349,348,336.8441303280781,100.0,0
"11,13,15",347,352,337.64119265324194,100.0,0
"11,13,15",342,352,339.02873022892993,100.0,0
"11,13,15",338,356,340.41321949715837,100.0,0
"11,13,15",335,360,341.1217934456264,100.0,0
"11,13,15",334,361,341.0437361929711,100.0,0
"11,13,15",332,364,340.02659870073967,100.0,0
"11,13,15",330,363,338.16293099691154,100.0,0
"11,13,15",328,363,334.42924224723436,100.0,0
"11,13,15",325,362,332.8117313014119,100.0,0
"11,13,15",320,355,327.0856589641926,100.0,0
"11,13,15",321,351,308.0020016130087,88.0020016130087,0
"11,13,15",321,351,305.7676165406637,85.76761654066371,0
"11,13,15",322,350,300.8615795926622,80.86157959266222,0
"11,13,15",322,348,265.4762941343525,45.476294134352486,0
"11,13,15",323,346,241.94216446757983,21.94216446757983,0
"11,13,15",323,345,231.62355135218354,11.62355135218354,0
"11,13,15",324,345,228.33799612117,8.337996121169994,0
"11,13,15",327,348,225.6732652020987,5.6732652020986905,0
"11,13,15",327,349,219.58766085829603,0.0,0
"11,13,15",327,349,215.25098869798978,0.0,0
"11,13,15",327,350,194.88725358444808,0.0,0
"11,13,15",328,350,189.37192549583992,0.0,0
"11,13,15",328,350,202.51338234212912,0.0,0
"11,13,15",328,352,209.71648894073647,0.0,0
"11,13,15",330,354,210.41518020670534,0.0,0
"11,13,15",332,356,209.35733162299942,0.0,0
"11,13,15",332,358,210.78441201194846,0.0,0
"11,13,15",333,359,209.8679188456721,0.0,0
"11,13,15",333,362,207.98325169633563,0.0,0
"11,13,15",334,363,203.5836702506952,0.0,0
"11,13,15",334,363,194.71425919892295,0.0,0
"11,13,15",334,363,198.64688765244443,0.0,0
"11,13,15",334,363,199.86737378512873,0.0,0
"11,13,15",334,364,201.47877433728667,0.0,0
"11,13,15",334,365,202.6272466395204,0.0,0
"11,13,15",334,366,201.57354230707728,0.0,0
"11,13,15",334,367,201.28069371142445,0.0,0
"11,13,15",334,368,200.58589195043803,0.0,0
"11,13,15",334,369,199.63357440721154,0.0,0
"11,13,15",333,369,199.45750394753074,0.0,0
"11,13,15",331,370,198.35344705781765,0.0,0
"11,13,15",330,371,197.67656800984582,0.0,0
"11,13,15",326,371,198.41387889895358,0.0,0
"11,13,15",322,373,198.81247495694362,0.0,0
"11,13,15",317,373,197.13230788794917,0.0,0
"11,13,15",313,373,194.555580311852,0.0,0
"11,13,15",313,374,194.9224232875383,0.0,0
"11,13,15",311,375,195.5748589456549,0.0,0
"11,13,15",307,375,195.70863782901574,0.0,0
"11,13,15",305,375,196.057198818216,0.0,0
"11,13,15",304,375,195.5352524784825,0.0,0
"11,13,15",303,375,195.27137541467692,0.0,0
"11,13,15",302,377,195.6695080556811,0.0,0
"11,13,15",301,378,196.2454769784899,0.0,0
"11,13,15",301,379,196.36602618237808,0.0,0
"11,13,15",300,379,196.8811790946415,0.0,0
"11,13,15",300,379,197.08405368304062,0.0,0
"11,13,15",299,379,197.44226091010376,0.0,0
"11,13,15",298,378,197.7062727944342,0.0,0
"11,13,15",297,378,197.75934765216306,0.0,0
"11,13,15",294,378,197.98300015581768,0.0,0
"11,13,15",292,378,198.0044758308751,0.0,0
"11,13,15",290,378,198.00962580389555,0.0,0
"11,13,15",290,378,198.0318431570598,0.0,0
"11,13,15",291,379,197.23736126919474,0.0,0
"11,13,15",291,380,197.21147077774975,0.0,0
"11,13,15",291,380,196.51449986258294,0.0,0
"11,13,15",292,381,195.8590204193525,0.0,0
"11,13,15",292,381,195.73372187700932,0.0,0
"11,13,15",292,380,196.51106510107667,0.0,0
"11,13,15",292,379,196.3801632531702,0.0,0
"11,13,15",292,378,196.42115893187082,0.0,0
"11,13,15",291,376,196.4171602018869,0.0,0
"11,13,15",291,375,196.74831185083207,0.0,0
"11,13,15",291,375,196.78587836273294,0.0,0
"11,13,15",291,374,196.51445695850848,0.0,0
"11,13,15",292,374,195.9850401571392,0.0,0
"11,13,15",294,374,193.27064387640368,0.0,0
"11,13,15",297,373,193.5422988604213,0.0,0
"11,13,15",302,373,189.22195507424934,0.0,0
"11,13,15",304,371,187.28378498862975,0.0,0
"11,13,15",304,367,187.10590501555018,0.0,0
"11,13,15",304,364,187.69831253484392,0.0,0
"11,13,15",303,357,190.28585803932535,0.0,0
"11,13,15",305,354,188.28212151200466,0.0,0
"11,13,15",308,355,193.11306680220525,0.0,0
"11,13,15",310,355,191.3535919368779,0.0,0
"11,13,15",311,352,191.07798903128494,0.0,0
"11,13,15",312,350,188.58555856953632,0.0,0
"11,13,15",314,349,193.93033037518265,0.0,0
"11,13,15",316,348,194.31217279311574,0.0,0
"11,13,15",318,348,195.4109624878062,0.0,0
"11,13,15",318,347,193.79758967766293,0.0,0
"11,13,15",320,347,188.43067700617087,0.0,0
"11,13,15",321,346,183.40809895001766,0.0,0
"11,13,15",325,345,187.02650377913142,0.0,0
"11,13,15",326,346,187.62509150151,0.0,0
"11,13,15",330,345,185.7525131042486,0.0,0
"11,13,15",330,346,179.63078801937502,0.0,0
"11,13,15",330,345,172.22145368892274,0.0,0
"11,13,15",334,344,5.666893193004564,0.0,0
"11,13,15",337,344,145.27497380227936,0.0,0
"11,13,15",339,344,202.1981797338042,0.0,0
"11,13,15",346,344,254.40117665944686,34.40117665944686,0
"11,13,15",349,343,224.55459185632296,4.554591856322958,0
"11,13,15",352,343,195.18109673137616,0.0,0
"11,13,15",356,342,189.0488902048818,0.0,0
"11,13,15",356,341,88.42344994481627,0.0,0
"11,13,15",358,340,104.28778539404315,0.0,0
"11,13,15",358,340,182.33988790093008,0.0,0
"11,13,15",358,337,186.81821457165188,0.0,0
"11,13,15",361,336,195.54536839604347,0.0,0
"11,13,15",365,335,180.96919705037422,0.0,0
"11,13,15",368,335,193.78939159504682,0.0,0
"11,13,15",371,335,18.84274107948776,0.0,0
"11,13,15",373,335,350.8824608469628,100.0,0
"11,13,15",376,335,345.2021600221196,100.0,0
"11,13,15",379,333,346.9485893739952,100.0,0
"11,13,15",381,332,349.583759772715,100.0,0
"11,13,15",385,332,348.14853286717675,100.0,0
"11,13,15",386,331,350.3097830476944,100.0,0
"11,13,15",387,330,350.17979607449433,100.0,0
"11,13,15",389,330,350.60413429349285,100.0,0
"11,13,15",392,328,0.3247663636866786,0.0,0
"11,13,15",395,326,1.0043301940558806,0.0,0
"11,13,15",395,324,359.59715009066963,100.0,0
"11,13,15",397,324,354.9502003087801,100.0,0
"11,13,15",397,324,353.1175237633162,100.0,0
"11,13,15",398,324,352.00754630741335,100.0,0
"11,13,15",401,325,351.73056125126453,100.0,0
"11,13,15",403,324,350.49589455603774,100.0,0
"11,13,15",404,324,315.08089762292855,95.08089762292855,0
"11,13,15",404,324,213.84812444783822,0.0,0
"11,13,15",406,324,206.04959356857708,0.0,0
"11,13,15",406,322,227.54927651423108,7.549276514231082,0
"11,13,15",407,321,224.2189958797332,4.2189958797332,0
"11,13,15",408,321,222.73356302519457,2.73356302519457,0
"11,13,15",408,321,212.77670617097255,0.0,0
"11,13,15",409,321,194.27524704580884,0.0,0
"11,13,15",410,321,198.37086857058176,0.0,0
"11,13,15",411,322,192.43956201884657,0.0,0
"11,13,15",411,322,193.2061159371316,0.0,0
"11,13,15",407,322,187.86604456000126,0.0,0
"11,13,15",408,322,194.81525762210367,0.0,0
"11,13,15",409,322,196.3241955997898,0.0,0
"11,13,15",409,323,199.03141985903727,0.0,0
"11,13,15",408,323,198.8148972819023,0.0,0
"11,13,15",408,323,198.04531384171568,0.0,0
"11,13,15",407,323,197.84213476662532,0.0,0
"11,13,15",407,324,203.59876283668927,0.0,0
"11,13,15",405,324,351.49930151716694,100.0,0
"11,13,15",402,325,0.7541201546682471,0.0,0
"11,13,15",402,326,309.03551289874684,89.03551289874684,0
"11,13,15",403,329,336.6662576167267,100.0,0
"11,13,15",402,330,8.22510568931643,0.0,0
"11,13,15",402,332,18.76572121963785,0.0,0
"11,13,15",402,333,11.754116033785172,0.0,0
"11,13,15",401,333,7.239877834127034,0.0,0
"11,13,15",398,333,9.882884247021087,0.0,0
"11,13,15",397,333,8.865719895396168,0.0,0
"11,13,15",397,333,3.5883122318228677,0.0,0
"11,13,15",398,333,4.520011632212153,0.0,0
"11,13,15",397,333,1.2967633833501389,0.0,0
"11,13,15",396,332,326.9958104993532,100.0,0
"11,13,15",395,332,320.06995885715645,100.0,0
"11,13,15",395,332,320.1852004538132,100.0,0
"11,13,15",395,332,321.5140843880923,100.0,0
"11,13,15",394,333,324.1902001976269,100.0,0
"11,13,15",394,333,311.77733153153343,91.77733153153343,0
"11,13,15",394,333,315.3393401712341,95.33934017123408,0
"11,13,15",393,332,335.72573591367455,100.0,0
"11,13,15",394,332,341.16095666161834,100.0,0
"11,13,15",394,332,303.88947198602443,83.88947198602443,0
"11,13,15",394,333,244.3915497306753,24.391549730675308,0
