position,11x,11y,angle,percentage,polarity
"11,13,15",288,299,178.75993080690475,0.0,1
"11,13,15",288,299,180.3925800882634,0.0,1
"11,13,15",288,299,181.35719793573145,0.0,1
"11,13,15",288,299,182.37196887011382,0.0,1
"11,13,15",288,300,182.71575076278307,0.0,1
"11,13,15",289,300,182.49898898573352,0.0,1
"11,13,15",289,300,182.76388221647477,0.0,1
"11,13,15",290,299,183.09658923843097,0.0,1
"11,13,15",290,300,184.13348098748014,0.0,1
"11,13,15",290,300,186.78952114907617,0.0,1
"11,13,15",292,301,189.4573773750774,0.0,1
"11,13,15",296,301,191.47139634909536,0.0,1
"11,13,15",297,301,195.70810863063477,0.0,1
"11,13,15",299,302,199.09479011370126,0.0,1
"11,13,15",301,303,204.88644840260415,0.0,1
"11,13,15",303,306,209.32579437592355,0.0,1
"11,13,15",304,306,216.8326121732693,0.0,1
"11,13,15",306,306,221.9365281628474,1.9365281628473952,1
"11,13,15",307,306,231.26482569205254,11.26482569205254,1
"11,13,15",309,306,240.32747922326894,20.327479223268938,1
"11,13,15",310,305,248.13510576920336,28.135105769203363,1
"11,13,15",310,304,255.46884216245957,35.468842162459566,1
"11,13,15",310,304,262.7681844084888,42.76818440848882,1
"11,13,15",310,305,266.31234892015544,46.31234892015544,1
"11,13,15",311,305,272.62066431674634,52.62066431674634,1
"11,13,15",312,305,277.13135629698985,57.13135629698985,1
"11,13,15",311,307,284.642246011697,64.64224601169701,1
"11,13,15",311,309,290.7821544581083,70.78215445810832,1
"11,13,15",311,309,295.7163817487709,75.71638174877091,1
"11,13,15",311,310,299.2656805144733,79.26568051447327,1
"11,13,15",311,310,302.6232343991853,82.62323439918532,1
"11,13,15",311,310,305.8854558601133,85.88545586011332,1
"11,13,15",311,311,307.66395042672036,87.66395042672036,1
"11,13,15",311,311,310.0816192858693,90.0816192858693,1
"11,13,15",311,312,312.3108562916719,92.31085629167188,1
"11,13,15",311,311,314.15747573925955,94.15747573925955,1
"11,13,15",311,311,316.540218493024,96.54021849302399,1
"11,13,15",311,311,317.401799587223,97.40179958722302,1
"11,13,15",311,311,318.6642946468001,98.6642946468001,1
"11,13,15",311,311,320.10310598038325,100.0,1
"11,13,15",311,311,320.74986243800504,100.0,1
"11,13,15",311,310,320.65707070606834,100.0,1
"11,13,15",311,310,320.06727111779446,100.0,1
"11,13,15",311,311,320.01566983361874,100.0,1
"11,13,15",311,312,320.01566983361874,100.0,1
"11,13,15",311,312,319.6362468357274,99.63624683572738,1
"11,13,15",311,312,319.4700456725771,99.4700456725771,1
"11,13,15",311,313,317.26987060013715,97.26987060013715,1
"11,13,15",313,314,312.3826299283328,92.38262992833279,1
"11,13,15",315,315,308.4610379170386,88.4610379170386,1
